CpG	Intercept	PanTcell	CD8T	CD4T	NK	Bcell	Mono	Gran
chr6:36972027	0.908254648552594	0.0218475536904394	-0.0290746444815646	0.019520009724875	0.0349316733273465	-0.891558627613285	0.043308690164259	0.0442108030283962
chr10:131412968	0.910165601928021	0.0291908471088487	-0.0205090331614662	0.0068070685852062	0.0216508562925718	-0.804918829478583	0.0383423000849344	0.0301016053028316
chr16:28943677	0.861710374865453	0.0133515467273259	-0.024789511157264	-0.00679169717021715	0.0249064091110884	-0.802710142557113	0.054985251674549	0.0462940463367248
chr14:96180319	0.883485808414202	0.0483939005799524	-0.0405613173629306	0.0140909168912605	0.0514708954741297	-0.855206370039137	0.0631463970943434	0.0572638103519052
chr1:111743271	0.0741634195006262	-0.030853038777134	0.000300863984962999	-0.00486344785097266	-0.0115308877837343	0.808367400203855	-0.0336872495057226	-0.0363950545826554
chr4:48136280	0.528012233377504	-0.40285281488659	0.139389398121522	-0.0200902187680063	-0.450320678179238	0.340397795211808	0.290289848424227	0.188345917504462
chr4:48136234	0.676748993802917	-0.58788670535406	0.109560272437782	-0.0144754359051254	-0.625757684153874	0.263313671737727	0.246345521715798	0.212156864871862
chr8:11350853	0.750892456625374	0.0964004593761398	0.0345810838112854	-0.0110280721566924	-0.0084806574711472	-0.71056687859875	-0.670478058278152	0.085036038556365
chr21:35884508	0.404494948128378	0.505367307880305	-0.0273653942304828	-0.0206240864610779	0.477005435582928	0.510333969805857	-0.332791026095114	-0.339580031988152
chr11:71846788	0.422947643799856	0.462224480051877	-0.08197443192048	-0.042123962378522	0.46229780349238	0.487363725585318	-0.326553638323634	-0.337897343209014
chr12:7901661	0.81056330617648	0.0708889114934883	-0.0285475969858766	0.00660029480849171	0.0540247013834297	-0.710247701174984	0.0972964373612346	-0.00916145129145058
chr8:145086882	0.320025253619297	0.332003268243753	-0.145974170559955	-0.0413877767514531	0.225672648581899	-0.247689108287932	-0.254865290746315	-0.255294020182209
chr2:42990957	0.579891078111461	0.227647348708722	-0.0215392551916381	-0.0131038283838107	0.163019699028157	0.246366539012421	0.0963928084038928	-0.0759974955340419
chr1:8273352	0.391204087447826	0.545909084887539	0.00452779250143825	-0.0279228485098114	0.536988370427087	0.547998739741343	-0.191745453066884	-0.316204121103262
chr21:34774627	0.475461725750112	0.469305598999612	-0.013513968974286	-0.0317843298768872	0.446887363689683	0.463013987262552	-0.375815854420525	-0.378777482142773
chr19:55173482	0.843608259175099	0.00192749687763248	0.0403852952000484	-0.00560333410463917	-0.00750978705550742	-0.717228322097549	-0.0140643080179776	-0.00586856316856259
chr1:172628020	0.636040529458778	-0.571022366002796	-0.0105489717557526	0.0105437315050277	-0.56459327235982	0.120232926367912	0.249556191590753	0.246648342339584
chr11:118754593	0.810584804027961	-0.0527938159936551	0.0352708117294401	-0.150198783831058	0.0539698998415982	-0.746100199236664	0.0735756332856491	0.0788619595139752
chr14:25046121	0.43023991110125	0.487754169765329	0.00575993603642138	-0.0306990460180164	0.467117316620837	0.482939361372107	-0.337762464477966	-0.332714488716432
chr21:45232232	0.508681692562308	0.401034674163972	-0.0377680165868217	-0.014784604246198	0.369479952918398	0.349099957447749	-0.418964638537609	-0.174531642525083
chr6:31582837	0.431347027993679	0.491388590465535	-0.0206507217881299	-0.0224706838679094	0.478754578929701	0.321578741865806	-0.367895663258285	-0.362425662563024
chr1:160765805	0.533186559748193	-0.494121343773571	0.0135202216692545	0.00704729962809431	-0.445000522847707	-0.447638584596177	0.204256583246059	0.328144016736299
chr16:21665138	0.913011175643058	0.0349289729187551	-0.00060930639623138	-0.00701119453013509	0.0246506933959098	0.0345817361397683	-0.413493731148817	0.0388892147431822
chr2:219247055	0.709339512802502	0.231728181292235	-0.00219711321902889	-0.00475546547335495	0.263719634199702	0.128789157837579	-0.6207277448131	-0.11005976244105
chr11:118213272	0.702942351005065	-0.570128043018425	0.0454935776318878	0.0282743905520487	0.195803831414383	0.227255476933985	0.21856810393161	0.215148428389322
chr11:118213330	0.586376198849574	-0.537536503668651	0.0139730940844787	0.015957078238827	0.252713880851928	0.313530831905828	0.302737366555851	0.28551763269796
chr17:39646994	0.737902638224175	0.0648586577231768	-0.045746419331483	-0.0088020740868503	0.0840692575217717	-0.035177454078714	-0.644911579230224	0.0634280022356425
chr19:11406993	0.286327824277832	0.606625904276921	-0.0045291817115041	-0.00892898998720871	0.549608141245817	0.59607731514049	-0.24276464190428	-0.242919758798629
chr17:7019262	0.626896056127633	0.277992895186317	0.0134089293691282	-0.0125273845273704	0.289099768243534	0.268556746485566	-0.509658356188194	-0.203886244811189
chr19:7766974	0.605246625498746	0.225784848498558	-0.00718046729482253	0.0333989957445227	-0.0605551410986175	-0.577906228532149	-0.536800633710924	0.0882051786200938
chr17:75316233	0.369427987480852	0.547550682094592	-0.0139749763790039	-0.0334537989731728	0.551902033854722	0.500400199297696	-0.294827424393374	-0.298178178181415
chr1:111743368	0.438441522224125	-0.314009525563578	0.0022794033053247	-0.00789841416276909	-0.313561842217052	0.432252411107767	-0.30388223821799	0.0830344527887707
chr1:55013709	0.168785175284523	0.481099455413194	-0.144155008558659	0.0269804966734122	0.133548741823091	-0.0339685917307982	-0.125858169581938	-0.124832337957769
chr6:159278754	0.689799450601593	0.0944156008652786	0.0156925071515303	0.0081890416251876	-0.0233851765571345	-0.570939790966857	-0.00202663230236125	-0.00469354329800441
chr7:75583421	0.296202967810412	0.643831183918252	-0.0293992915587829	-0.0210352818999266	0.603750264596146	0.597833107762115	-0.272184731762554	-0.267817246333137
chr3:128778738	0.782593588900933	0.132850361104948	0.0168758000267694	0.0148467124619771	0.123208501926572	-0.647868258961606	0.0333924910357456	-0.025082126397408
chr11:60145275	0.718446222216315	0.124443361115079	-0.00479633330504449	0.00621856668758935	-0.0380926131513308	-0.642144822267732	-0.637162534247171	0.0269535152834545
chr11:74860985	0.747643135616529	0.12941251116117	-0.0123513449656557	-0.00030495029639294	0.125283028324785	0.122536737210528	-0.436525218718795	-0.00118135926734571
chr7:75582881	0.390170058855515	0.462796950131193	-0.00294021793731044	-0.0374399891146	0.45395683116046	0.478007350680354	0.156194556310557	-0.263043827494427
chr12:54689278	0.477321653290353	0.290448719515292	-0.0930981784537922	-0.0393072343507439	0.334496412655396	0.323644569777062	-0.13769276906543	-0.177248620407262
chr1:110306507	0.901537466671117	0.0230330499761922	-0.0298343166596783	-0.00720862914352697	-0.547297257565985	0.0414315666317184	0.0383198133122007	0.0288112958034442
chr2:46747379	0.348606503134606	0.393834603763446	-0.0408837904753759	-0.00869686357004385	0.444937844689832	0.507374157031422	-0.256547250738499	-0.285390017454968
chr19:35819809	0.27617986391246	0.33740177639404	0.0148047385523895	0.0172119225394581	0.045724174646134	-0.232780968748245	-0.218923887880196	-0.206301385050064
chr11:72929054	0.511421310922594	0.416676823431128	-0.029959948342391	-0.0471207519016283	0.314397532838348	0.345893659143512	-0.274292087167762	-0.341092533744165
chr6:32784255	0.690959794410366	0.123315588226324	0.00975639279438657	-0.0117428679686393	0.0657825359198897	-0.605417954955282	-0.00350260881759271	-0.00714893489043701
chr14:95942049	0.752567951852052	0.103133281478375	-0.000987133328005407	-0.0197170333367776	-0.25892228816898	0.133825798101988	0.102021828080291	-0.0178475143678997
chr5:39219632	0.410275395110627	0.51545940748857	0.012711245391384	-0.0155725908871778	0.490650709584115	0.33581248665664	-0.338423907406743	-0.332843493809676
chr21:43823863	0.449974074951973	-0.370693951773015	0.00317689433125393	-0.00461980699488499	-0.318641165226496	0.384988071554716	0.262812024193795	0.160293023938866
chr11:67777952	0.361213970330416	0.389311964211802	-0.0104942627320866	-0.0125849534950303	0.216117223193165	0.167654610222551	-0.290657348027026	-0.301064570576605
